"name","image","rarity","team","idol","level","master","number","life","total_min","dance_min","total_MAX","dance_MAX","total_MM","dance_MM","vocal_min","visual_min","vocal_MAX","visual_MAX","vocal_MM","visual_MM","get_card","center","skill_type","skill","date","evol","gasya"
"ひらりひらりと魅せられて　百瀬莉緒＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525073351.jpg","SSR＋","フェアリー","百瀬莉緒","90","4","538","40","7300","3163","16201","7021","18149","7865","2413","1724","5354","3826","5998","4286","覚醒
ひらりひらりと魅せられて　百瀬莉緒を覚醒
","Fairyステップ
Fairyタイプのダンス値が90％アップ
","コンボボーナス

","優雅に舞い踊る華のように
13秒ごとに31％の確率で7秒間、コンボボーナスが26％アップ
","2018-04-30","NULL","NULL"
"大きく咲いて　中谷育","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525073276.jpg","SR","プリンセス","中谷育","60","4","541","35","5975","1403","11754","2760","13398","3148","1996","2576","3926","5068","4474","5776","プラチナガシャ
初夏のお祭りガシャ
","Princessコーデ
Princessタイプのビジュアル値が60％アップ
","スコアアップ

","煌めくひととき
9秒ごとに36％の確率で4秒間、Perfectのスコアが26％アップ
","2018-04-30","大きく咲いて　中谷育＋

","△
期間限定
"
"大きく咲いて　中谷育＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525073378.jpg","SR＋","プリンセス","中谷育","70","4","542","35","5988","1406","13714","3221","15358","3609","2000","2582","4580","5913","5128","6621","覚醒
大きく咲いて　中谷育を覚醒
","Princessコーデ
Princessタイプのビジュアル値が60％アップ
","スコアアップ

","煌めくひととき
9秒ごとに36％の確率で4秒間、Perfectのスコアが26％アップ
","2018-04-30","NULL","NULL"
"カラフルファクトリー　高槻やよい","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525073308.jpg","SSR","エンジェル","高槻やよい","80","4","539","40","7256","1714","14332","3386","16264","3842","2419","3123","4778","6168","5422","7000","プラチナガシャ
初夏のお祭りガシャ
","Angelコーデ
Angelタイプのビジュアル値が90％アップ
","スコアアップ

","もふもふコットンキャンディー
11秒ごとに31％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-04-30","カラフルファクトリー　高槻やよい＋

","○

"
"カラフルファクトリー　高槻やよい＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525073402.jpg","SSR＋","エンジェル","高槻やよい","90","4","540","40","7266","1717","16124","3809","18056","4265","2422","3127","5376","6939","6020","7771","覚醒
カラフルファクトリー　高槻やよいを覚醒
","Angelコーデ
Angelタイプのビジュアル値が90％アップ
","スコアアップ

","もふもふコットンキャンディー
11秒ごとに31％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-04-30","NULL","NULL"
"BIRTH　舞浜歩","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525417387.jpg","SR","フェアリー","舞浜歩","60","4","543","35","6254","2693","12304","5298","14024","6038","1485","2076","2922","4084","3330","4656","シアター
【イベント】プラチナスターシアター ～Birth of Color～
","Fairyステップ
Fairyタイプのダンス値が60％アップ
","コンボボーナス

","これがアタシたちのライブ！
13秒ごとに36％の確率で6秒間、コンボボーナスが20％アップ
","2018-05-04","BIRTH　舞浜歩＋

","×

"
"BIRTH　舞浜歩＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525417652.jpg","SR＋","フェアリー","舞浜歩","70","4","544","35","6269","2699","14355","6182","16075","6922","1489","2081","3409","4764","3817","5336","覚醒
BIRTH　舞浜歩を覚醒
","Fairyステップ
Fairyタイプのダンス値が60％アップ
","コンボボーナス

","これがアタシたちのライブ！
13秒ごとに36％の確率で6秒間、コンボボーナスが20％アップ
","2018-05-04","NULL","NULL"
"BIRTH　三浦あずさ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525417891.jpg","SR","エンジェル","三浦あずさ","60","4","545","35","5928","1991","11660","3916","13292","4464","2561","1376","5038","2706","5742","3086","シアター
【イベント】プラチナスターシアター ～Birth of Color～
","Angelハーモニー
Angelタイプのボーカル値が60％アップ
","コンボ継続

","特訓の成果
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-05-04","BIRTH　三浦あずさ＋

","×

"
"BIRTH　三浦あずさ＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1525418065.jpg","SR＋","エンジェル","三浦あずさ","70","4","546","35","5941","1995","13603","4568","15235","5116","2567","1379","5878","3157","6582","3537","覚醒
BIRTH　三浦あずさを覚醒
","Angelハーモニー
Angelタイプのボーカル値が60％アップ
","コンボ継続

","特訓の成果
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-05-04","NULL","NULL"
"ご機嫌ローズプリンセス　水瀬伊織","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526018872.jpg","SSR","フェアリー","水瀬伊織","80","4","547","40","7289","2442","14398","4824","16342","5476","3152","1695","6226","3348","7066","3800","プラチナガシャ
グラビアチャレンジガシャ
","Fairyハーモニー
Fairyタイプのボーカル値が90％アップ
","コンボボーナス

","ローズパーティーをご一緒に
9秒ごとに31％の確率で5秒間、コンボボーナスが26％アップ
","2018-05-11","ご機嫌ローズプリンセス　水瀬伊織＋

","△
期間限定
"
"ご機嫌ローズプリンセス　水瀬伊織＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526019169.jpg","SSR＋","フェアリー","水瀬伊織","90","4","548","40","7299","2446","16200","5428","18144","6080","3156","1697","7005","3767","7845","4219","覚醒
ご機嫌ローズプリンセス　水瀬伊織を覚醒
","Fairyハーモニー
Fairyタイプのボーカル値が90％アップ
","コンボボーナス

","ローズパーティーをご一緒に
9秒ごとに31％の確率で5秒間、コンボボーナスが26％アップ
","2018-05-11","NULL","NULL"
"ロマンティックランド　徳川まつり","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526018918.jpg","SSR","プリンセス","徳川まつり","80","4","549","40","7262","2796","14344","5522","16276","6266","2046","2420","4042","4780","4586","5424","プラチナガシャ
グラビアチャレンジガシャ
","Princessステップ
Princessタイプのダンス値が90％アップ
","スコアアップ

","ファンタジックな世界へようこそ
13秒ごとに36％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-05-11","ロマンティックランド　徳川まつり＋

","○

"
"ロマンティックランド　徳川まつり＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526019192.jpg","SSR＋","プリンセス","徳川まつり","90","4","550","40","7271","2799","16138","6213","18070","6957","2049","2423","4547","5378","5091","6022","覚醒
ロマンティックランド　徳川まつりを覚醒
","Princessステップ
Princessタイプのダンス値が90％アップ
","スコアアップ

","ファンタジックな世界へようこそ
13秒ごとに36％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-05-11","NULL","NULL"
"アイドルの試練　如月千早","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526018977.jpg","SR","フェアリー","如月千早","60","4","551","35","5736","1904","11284","3746","12864","4270","1355","2477","2666","4872","3038","5556","プラチナガシャ
グラビアチャレンジガシャ
","Fairyコーデ
Fairyタイプのビジュアル値が60％アップ
","ダメージガード

","歌姫覚醒
9秒ごとに31％の確率で4秒間、ライフが減少しない
","2018-05-11","アイドルの試練　如月千早＋

","○

"
"アイドルの試練　如月千早＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526019221.jpg","SR＋","フェアリー","如月千早","70","4","552","35","5749","1909","13164","4370","14744","4894","1358","2482","3110","5684","3482","6368","覚醒
アイドルの試練　如月千早を覚醒
","Fairyコーデ
Fairyタイプのビジュアル値が60％アップ
","ダメージガード

","歌姫覚醒
9秒ごとに31％の確率で4秒間、ライフが減少しない
","2018-05-11","NULL","NULL"
"プリティーハムスター　馬場このみ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537545514.jpg","R","エンジェル","馬場このみ","40","4","553","30","4179","1392","8154","2716","9378","3124","1190","1597","2322","3116","2670","3584","プラチナガシャ

","Angelチャージ
Angelタイプのライフが20％アップ
","ダメージガード

","ハムハム着ぐるみ
9秒ごとに21％の確率で4秒間、ライフが減少しない
","2018-05-11","プリティーハムスター　馬場このみ＋

","○

"
"プリティーハムスター　馬場このみ＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537545534.jpg","R＋","エンジェル","馬場このみ","50","4","554","30","4200","1399","10193","3395","11417","3803","1196","1605","2902","3896","3250","4364","プラチナガシャ

","Angelチャージ
Angelタイプのライフが20％アップ
","ダメージガード

","ハムハム着ぐるみ
9秒ごとに21％の確率で4秒間、ライフが減少しない
","2018-05-11","NULL","NULL"
"戦士の沐浴　福田のり子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526264604.jpg","SR","プリンセス","福田のり子","60","4","555","35","5739","1929","11290","3794","12874","4326","1898","1912","3734","3762","4258","4290","ミリコレ
【イベント】ミリコレ！～MILLIONLIVE COLLECTION～ 201805
","Princessシャイン
Princessタイプの全アピール値が20％アップ
","スコアアップ

","装備全解除
13秒ごとに36％の確率で6秒間、Perfectのスコアが26％アップ
","2018-05-13","戦士の沐浴　福田のり子＋

","×

"
"戦士の沐浴　福田のり子＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526264879.jpg","SR＋","プリンセス","福田のり子","70","4","556","35","5753","1933","13173","4427","14757","4959","1903","1917","4356","4390","4880","4918","覚醒
戦士の沐浴　福田のり子を覚醒
","Princessシャイン
Princessタイプの全アピール値が20％アップ
","スコアアップ

","装備全解除
13秒ごとに36％の確率で6秒間、Perfectのスコアが26％アップ
","2018-05-13","NULL","NULL"
"ナチュラルスマイル　二階堂千鶴","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526265093.jpg","SR","フェアリー","二階堂千鶴","60","4","557","35","5717","1927","11246","3790","12822","4322","1901","1889","3740","3716","4264","4236","ミリコレ
【イベント】ミリコレ！～MILLIONLIVE COLLECTION～ 201805
","Fairyシャイン
Fairyタイプの全アピール値が20％アップ
","ライフ回復

","優しい笑顔
9秒ごとに31％の確率で5秒間、Perfectでライフが3回復
","2018-05-13","ナチュラルスマイル　二階堂千鶴＋

","×

"
"ナチュラルスマイル　二階堂千鶴＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526265301.jpg","SR＋","フェアリー","二階堂千鶴","70","4","558","35","5730","1931","13119","4421","14695","4953","1906","1893","4363","4335","4887","4855","覚醒
ナチュラルスマイル　二階堂千鶴を覚醒
","Fairyシャイン
Fairyタイプの全アピール値が20％アップ
","ライフ回復

","優しい笑顔
9秒ごとに31％の確率で5秒間、Perfectでライフが3回復
","2018-05-13","NULL","NULL"
"天使のダンスタイム　我那覇響","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526265574.jpg","R","プリンセス","我那覇響","40","4","559","30","4146","1368","8092","2670","9304","3070","1407","1371","2746","2676","3158","3076","ミリコレ
【イベント】ミリコレ！～MILLIONLIVE COLLECTION～ 201805
","Princessシャイン
Princessタイプの全アピール値が10％アップ
","スコアアップ

","ふわふわステップ
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2018-05-13","天使のダンスタイム　我那覇響＋

","○

"
"天使のダンスタイム　我那覇響＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526265800.jpg","R＋","プリンセス","我那覇響","50","4","560","30","4167","1375","10114","3338","11326","3738","1414","1378","3432","3344","3844","3744","覚醒
天使のダンスタイム　我那覇響を覚醒
","Princessシャイン
Princessタイプの全アピール値が10％アップ
","スコアアップ

","ふわふわステップ
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2018-05-13","NULL","NULL"
"ハピ☆パラ！　野々原茜","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969298.jpg","SSR","エンジェル","野々原茜","80","4","565","40","7257","2075","14334","4098","16266","4650","2780","2402","5492","4744","6232","5384","プラチナガシャ
アーリーサマーガールガシャ
","Angelハーモニー
Angelタイプのボーカル値が90％アップ
","スコアアップ

","にゃんと素敵なシチュエーション！
10秒ごとに31％の確率で5秒間、Perfect/Greatのスコアが30％アップ
","2018-05-22","ハピ☆パラ！　野々原茜＋

","○

"
"ハピ☆パラ！　野々原茜＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969539.jpg","SSR＋","エンジェル","野々原茜","90","4","566","40","7266","2077","16125","4611","18057","5163","2784","2405","6178","5336","6918","5976","覚醒
ハピ☆パラ！　野々原茜を覚醒
","Angelハーモニー
Angelタイプのボーカル値が90％アップ
","スコアアップ

","にゃんと素敵なシチュエーション！
10秒ごとに31％の確率で5秒間、Perfect/Greatのスコアが30％アップ
","2018-05-22","NULL","NULL"
"満天の星空の下　七尾百合子","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969404.jpg","SR","プリンセス","七尾百合子","60","4","567","35","5754","1643","11320","3232","12904","3684","1907","2204","3752","4336","4276","4944","プラチナガシャ
アーリーサマーガールガシャ
","Princessコーデ
Princessタイプのビジュアル値が60％アップ
","コンボ継続

","星空への約束
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-05-22","満天の星空の下　七尾百合子＋

","○

"
"満天の星空の下　七尾百合子＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969556.jpg","SR＋","プリンセス","七尾百合子","70","4","568","35","5768","1647","13207","3771","14791","4223","1912","2209","4378","5058","4902","5666","覚醒
満天の星空の下　七尾百合子を覚醒
","Princessコーデ
Princessタイプのビジュアル値が60％アップ
","コンボ継続

","星空への約束
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-05-22","NULL","NULL"
"ウォータースプラッシュ！　永吉昴","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969452.jpg","R","フェアリー","永吉昴","40","4","569","30","4183","1186","8162","2314","9390","2662","1402","1595","2736","3112","3148","3580","プラチナガシャ

","Fairyテクニック
Fairyタイプのスキル発動率が10％アップ
","判定強化

","砂浜シューター
13秒ごとに21％の確率で6秒間、GreatをPerfectにする
","2018-05-22","ウォータースプラッシュ！　永吉昴＋

","○

"
"ウォータースプラッシュ！　永吉昴＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1526969576.jpg","R＋","フェアリー","永吉昴","50","4","570","30","4204","1192","10201","2892","11429","3240","1409","1603","3419","3890","3831","4358","覚醒

","Fairyテクニック
Fairyタイプのスキル発動率が10％アップ
","判定強化

","砂浜シューター
13秒ごとに21％の確率で6秒間、GreatをPerfectにする
","2018-05-22","NULL","NULL"
"4Luxury　桜守歌織","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527131219.jpg","SR","エンジェル","桜守歌織","60","4","561","35","6304","2413","12400","4746","14136","5410","2105","1786","4140","3514","4720","4006","ツアー
【イベント】プラチナスターツアー～花ざかりWeekend✿～
","Angelステップ
Angelタイプのダンス値が60％アップ
","コンボボーナス

","Don't Stop The Party!
13秒ごとに36％の確率で6秒間、コンボボーナスが20％アップ
","2018-05-21","4Luxury　桜守歌織＋

","×

"
"4Luxury　桜守歌織＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527131452.jpg","SR＋","エンジェル","桜守歌織","70","4","562","35","6317","2418","14466","5537","16202","6201","2109","1790","4830","4099","5410","4591","覚醒
4Luxury　桜守歌織を覚醒
","Angelステップ
Angelタイプのダンス値が60％アップ
","コンボボーナス

","Don't Stop The Party!
13秒ごとに36％の確率で6秒間、コンボボーナスが20％アップ
","2018-05-21","NULL","NULL"
"4Luxury　豊川風花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527131652.jpg","SR","エンジェル","豊川風花","60","4","563","35","5936","1979","11678","3894","13310","4438","1961","1996","3858","3926","4398","4474","ツアー
【イベント】プラチナスターツアー～花ざかりWeekend✿～
","Angelテクニック
Angelタイプのスキル発動率が20％アップ
","判定強化

","ちょっぴり背伸びして
12秒ごとに26％の確率で5秒間、Great/GoodをPerfectにする
","2018-05-21","4Luxury　豊川風花＋

","×

"
"4Luxury　豊川風花＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527132107.jpg","SR＋","エンジェル","豊川風花","70","4","564","35","5950","1984","13625","4544","15257","5088","1966","2000","4501","4580","5041","5128","覚醒
4Luxury　豊川風花を覚醒
","Angelテクニック
Angelタイプのスキル発動率が20％アップ
","判定強化

","ちょっぴり背伸びして
12秒ごとに26％の確率で5秒間、Great/GoodをPerfectにする
","2018-05-21","NULL","NULL"
"花たちの祝福　田中琴葉","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748639.jpg","SSR","プリンセス","田中琴葉","80","4","571","40","7293","1710","14406","3378","16350","3834","3151","2432","6224","4804","7064","5452","プラチナガシャ
ハッピーブライダルガシャ
","Princessハーモニー
Princessタイプのボーカル値が90％アップ
","コンボボーナス

","ウェルカムガーデン
13秒ごとに36％の確率で6秒間、コンボボーナスが26％アップ
","2018-05-31","花たちの祝福　田中琴葉＋

","△
期間限定
"
"花たちの祝福　田中琴葉＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748733.jpg","SSR＋","プリンセス","田中琴葉","90","4","572","40","7302","1712","16206","3800","18150","4256","3155","2435","7001","5405","7841","6053","覚醒
花たちの祝福　田中琴葉を覚醒
","Princessハーモニー
Princessタイプのボーカル値が90％アップ
","コンボボーナス

","ウェルカムガーデン
13秒ごとに36％の確率で6秒間、コンボボーナスが26％アップ
","2018-05-31","NULL","NULL"
"大人になったら　箱崎星梨花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748660.jpg","SR","エンジェル","箱崎星梨花","60","4","575","35","5970","1699","11744","3342","13388","3810","2271","2000","4468","3934","5092","4486","プラチナガシャ
ハッピーブライダルガシャ
","Angelハーモニー
Angelタイプのボーカル値が60％アップ
","スコアアップ

","無邪気なお願い
9秒ごとに36％の確率で4秒間、Perfectのスコアが26％アップ
","2018-05-31","大人になったら　箱崎星梨花＋

","△
期間限定
"
"大人になったら　箱崎星梨花＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748750.jpg","SR＋","エンジェル","箱崎星梨花","70","4","576","35","5984","1703","13700","3899","15344","4367","2277","2004","5212","4589","5836","5141","覚醒
大人になったら　箱崎星梨花を覚醒
","Angelハーモニー
Angelタイプのボーカル値が60％アップ
","スコアアップ

","無邪気なお願い
9秒ごとに36％の確率で4秒間、Perfectのスコアが26％アップ
","2018-05-31","NULL","NULL"
"恋する視線　星井美希","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748678.jpg","SSR","エンジェル","星井美希","80","4","573","40","7269","3143","14458","6208","16298","7048","1720","2406","3398","4852","3858","5392","プラチナガシャ
ハッピーブライダルガシャ
","Angelステップ
Angelタイプのダンス値が90％アップ
","スコアアップ

","Look at only me☆
13秒ごとに36％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-05-31","恋する視線　星井美希＋

","○

"
"恋する視線　星井美希＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1527748765.jpg","SSR＋","エンジェル","星井美希","90","4","574","40","7279","3147","16152","6984","18092","7824","1723","2409","3822","5346","4282","5986","覚醒
恋する視線　星井美希を覚醒
","Angelステップ
Angelタイプのダンス値が90％アップ
","スコアアップ

","Look at only me☆
13秒ごとに36％の確率で6秒間、Perfect/Greatのスコアが30％アップ
","2018-05-31","NULL","NULL"
"エターナルハーモニー　エミリー","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528093240.jpg","SR","プリンセス","エミリー","60","4","577","35","6279","2707","12354","5326","14078","6070","2084","1488","4100","2928","4672","3336","シアター
【イベント】プラチナスターシアター～Eternal Harmony～
","Princessステップ
Princessタイプのダンス値が60％アップ
","コンボボーナス

","成長の涙
9秒ごとに31％の確率で5秒間、コンボボーナスが20％アップ
","2018-06-04","エターナルハーモニー　エミリー＋

","×

"
"エターナルハーモニー　エミリー＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528093446.jpg","SR＋","プリンセス","エミリー","70","4","578","35","6295","2714","14412","6213","16136","6957","2089","1492","4783","3416","5355","3824","覚醒
エターナルハーモニー　エミリーを覚醒
","Princessステップ
Princessタイプのダンス値が60％アップ
","コンボボーナス

","成長の涙
9秒ごとに31％の確率で5秒間、コンボボーナスが20％アップ
","2018-06-04","NULL","NULL"
"エターナルハーモニー　ジュリア","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528093684.jpg","SR","フェアリー","ジュリア","60","4","579","35","5951","2001","11706","3936","13346","4488","1988","1962","3910","3860","4458","4400","シアター
【イベント】プラチナスターシアター～Eternal Harmony～
","Fairyシャイン
Fairyタイプの全アピール値が20％アップ
","コンボ継続

","燃える魂
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-06-04","エターナルハーモニー　ジュリア＋

","NULL"
"エターナルハーモニー　ジュリア＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528093912.jpg","SR＋","フェアリー","ジュリア","70","4","580","35","5964","2005","13658","4593","15298","5145","1992","1967","4562","4503","5110","5043","覚醒
エターナルハーモニー　ジュリアを覚醒
","Fairyシャイン
Fairyタイプの全アピール値が20％アップ
","コンボ継続

","燃える魂
9秒ごとに31％の確率で4秒間、Fast/Slowでもコンボが継続
","2018-06-04","NULL","NULL"
"おてんば看板娘　双海亜美","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528783524.jpg","SSR","エンジェル","双海亜美","80","4","581","40","7294","2443","14408","4826","16356","5478","1691","3160","3340","6242","3792","7086","プラチナガシャ
ウェスタンガールガシャ
","Angelコーデ
Angelタイプのビジュアル値が90％アップ
","コンボボーナス

","ダイナミックショータイム
9秒ごとに36％の確率で4秒間、コンボボーナスが26％アップ
","2018-06-12","おてんば看板娘　双海亜美＋

","△
期間限定
"
"おてんば看板娘　双海亜美＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528783535.jpg","SSR＋","エンジェル","双海亜美","90","4","582","40","7304","2447","16210","5430","18158","6082","1693","3164","3758","7022","4210","7866","覚醒
おてんば看板娘　双海亜美を覚醒
","Angelコーデ
Angelタイプのビジュアル値が90％アップ
","コンボボーナス

","ダイナミックショータイム
9秒ごとに36％の確率で4秒間、コンボボーナスが26％アップ
","2018-06-12","NULL","NULL"
"ロコナイズミュージック♪　ロコ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528783546.jpg","SSR","フェアリー","ロコ","80","4","583","40","7267","3144","14354","6210","16294","7050","2406","1717","4752","3392","5392","3852","プラチナガシャ
ウェスタンガールガシャ
","Fairyステップ
Fairyタイプのダンス値が90％アップ
","スコアアップ

","エキセントリックデザイン
9秒ごとに31％の確率で5秒間、Perfect/Greatのスコアが30％アップ
","2018-06-12","ロコナイズミュージック♪　ロコ＋

","○

"
"ロコナイズミュージック♪　ロコ＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528783557.jpg","SSR＋","フェアリー","ロコ","90","4","584","40","7277","3148","16151","6987","18091","7827","2409","1720","5347","3817","5987","4277","覚醒
ロコナイズミュージック♪　ロコを覚醒
","Fairyステップ
Fairyタイプのダンス値が90％アップ
","スコアアップ

","エキセントリックデザイン
9秒ごとに31％の確率で5秒間、Perfect/Greatのスコアが30％アップ
","2018-06-12","NULL","NULL"
"ゆったりマッサージ　松田亜利沙","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537273978.jpg","SR","プリンセス","松田亜利沙","60","4","585","35","5734","1911","11280","3760","12860","4288","1893","1930","3724","3796","4244","4328","プラチナガシャ
ウェスタンガールガシャ
","Princessチャージ
Princessタイプのライフが30％アップ
","ライフ回復

","ドキドキふくらはぎ
9秒ごとに31％の確率で5秒間、Perfectでライフが3回復
","2018-06-12","ゆったりマッサージ　松田亜利沙＋

","○

"
"ゆったりマッサージ　松田亜利沙＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537274058.jpg","SR＋","プリンセス","松田亜利沙","70","4","586","35","5747","1916","13159","4387","14739","4915","1897","1934","4344","4428","4864","4960","覚醒
ゆったりマッサージ　松田亜利沙を覚醒
","Princessチャージ
Princessタイプのライフが30％アップ
","ライフ回復

","ドキドキふくらはぎ
9秒ごとに31％の確率で5秒間、Perfectでライフが3回復
","2018-06-12","NULL","NULL"
"麦茶でイッキ！　双海真美","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537274944.jpg","R","エンジェル","双海真美","40","4","587","30","4156","969","8108","1890","9324","2174","1801","1386","3514","2704","4042","3108","プラチナガシャ
ウェスタンガールガシャ
","Angelチャージ
Angelタイプのライフが20％アップ
","ライフ回復

","湯上がり最高潮！
9秒ごとに31％の確率で4秒間、Perfectでライフが2回復
","2018-06-12","麦茶でイッキ！　双海真美＋

","○

"
"麦茶でイッキ！　双海真美＋","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537274992.jpg","R＋","エンジェル","双海真美","50","4","588","30","4176","973","10134","2362","11350","2646","1810","1393","4393","3379","4921","3783","覚醒
麦茶でイッキ！　双海真美を覚醒
","Angelチャージ
Angelタイプのライフが20％アップ
","ライフ回復

","湯上がり最高潮！
9秒ごとに31％の確率で4秒間、Perfectでライフが2回復
","2018-06-12","NULL","NULL"
"スイートシャワー　天空橋朋花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1528870190.jpg","SR","フェアリー","天空橋朋花","60","4","589","35","5749","1341","11310","2638","12890","3006","2490","1918","4898","3774","5582","4302","ミリコレ
【イベント】ミリコレ！～MILLIONLIVE COLLECTION～ 201806
","Fairyハーモニー
Fairyタイプのボーカル値が60％アップ
","スコアアップ

","スイートマジックソング
9秒ごとに36％の確率で4秒間、Perfectのスコアが26％アップ
","2018-06-13","スイートシャワー　天空橋朋花＋

","×

"
